family,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical,logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0,0,27
classical,svm_rbf,0.9047619047619048,0.8666666666666667,0.8709677419354839,1.0,0.9310344827586207,0.9975308641975309,0.9986772486772486,11,4,0,27
classical,xgboost,0.9047619047619048,0.8962962962962964,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9654320987654321,0.983578064596583,13,2,2,25
jigsaw,jigsaw_bin_1024_frozen,0.8809523809523809,0.8629629629629629,0.8928571428571429,0.9259259259259259,0.9090909090909091,0.9604938271604938,0.9799137960737356,12,3,2,25
jigsaw,jigsaw_bin_1024_unfreeze_last_1,0.9047619047619048,0.8962962962962964,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9777777777777779,0.9886461256296051,13,2,2,25
jigsaw,jigsaw_bin_1024_unfreeze_last_2,0.8809523809523809,0.8777777777777778,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.965432098765432,0.984165838891254,13,2,3,24
jigsaw,jigsaw_bin_1024_unfreeze_last_3,0.9047619047619048,0.9111111111111111,0.96,0.8888888888888888,0.9230769230769231,0.9604938271604938,0.9818342151675485,14,1,3,24
jigsaw,jigsaw_bin_2048_frozen,0.8809523809523809,0.8777777777777778,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.9061728395061729,0.9612928332226578,13,2,3,24
jigsaw,jigsaw_bin_2048_unfreeze_last_1,0.9047619047619048,0.9111111111111111,0.96,0.8888888888888888,0.9230769230769231,0.928395061728395,0.9702140709085152,14,1,3,24
jigsaw,jigsaw_bin_2048_unfreeze_last_2,0.9285714285714286,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,0.9234567901234567,0.9686143019476352,15,0,3,24
jigsaw,jigsaw_bin_2048_unfreeze_last_3,0.9047619047619048,0.9259259259259259,1.0,0.8518518518518519,0.92,0.9234567901234568,0.9684086760110151,15,0,4,23
jigsaw,jigsaw_bin_256_frozen,0.8333333333333334,0.8111111111111111,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.8765432098765432,0.9360518015881756,11,4,3,24
jigsaw,jigsaw_bin_256_unfreeze_last_1,0.8333333333333334,0.8111111111111111,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.9061728395061728,0.9496107632057027,11,4,3,24
jigsaw,jigsaw_bin_256_unfreeze_last_2,0.8333333333333334,0.8111111111111111,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.9111111111111111,0.9504001821839285,11,4,3,24
jigsaw,jigsaw_bin_256_unfreeze_last_3,0.8333333333333334,0.8111111111111111,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.9382716049382716,0.9662872223221763,11,4,3,24
jigsaw,jigsaw_bin_512_frozen,0.8571428571428571,0.8592592592592593,0.92,0.8518518518518519,0.8846153846153846,0.8938271604938272,0.9495259943886944,13,2,4,23
jigsaw,jigsaw_bin_512_unfreeze_last_1,0.8809523809523809,0.8925925925925926,0.9583333333333334,0.8518518518518519,0.9019607843137255,0.9160493827160494,0.959394937174304,14,1,4,23
jigsaw,jigsaw_bin_512_unfreeze_last_2,0.8333333333333334,0.825925925925926,0.8846153846153846,0.8518518518518519,0.8679245283018868,0.9061728395061729,0.9528203050570301,12,3,4,23
jigsaw,jigsaw_bin_512_unfreeze_last_3,0.8571428571428571,0.8592592592592593,0.92,0.8518518518518519,0.8846153846153846,0.9135802469135802,0.9559652704358139,13,2,4,23
jigsaw,jigsaw_multibin_frozen,0.9285714285714286,0.9296296296296296,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9604938271604939,0.9783707043169958,14,1,2,25
jigsaw,jigsaw_multibin_unfreeze_last_1,0.9285714285714286,0.9296296296296296,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9654320987654321,0.9792676863884511,14,1,2,25
jigsaw,jigsaw_multibin_unfreeze_last_2,0.9047619047619048,0.8962962962962964,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9580246913580247,0.9770517215165315,13,2,2,25
jigsaw,jigsaw_multibin_unfreeze_last_3,0.8571428571428571,0.8592592592592593,0.92,0.8518518518518519,0.8846153846153846,0.9555555555555555,0.9785984844358433,13,2,4,23
